Company;Flight;Terminal;Status;Date;Arrival;Real_Arrival;Origin;IATA;Departure;Departure_time;Departure_real_time
Iberia;IB 5299;1;Aterrizado - Puntual;2018-11-02;00:01;23:58;Amsterdam;AMS;2018-11-01; 21:45;21:46
Vueling;VY 8305;1;Aterrizado - Puntual;2018-11-02;00:01;23:58;Amsterdam;AMS;2018-11-01; 21:45;21:46
Iberia;IB 5487;1;Aterrizado - Puntual;2018-11-02;00:01;23:54;London;LGW;2018-11-01; 20:55;20:47
British Airways;BA 8079;1;Aterrizado - Puntual;2018-11-02;00:01;23:54;London;LGW;2018-11-01; 20:55;20:47
Vueling;VY 7821;1;Aterrizado - Puntual;2018-11-02;00:01;23:54;London;LGW;2018-11-01; 20:55;20:47
Iberia;IB 5371;1;Aterrizado - Puntual;2018-11-02;00:05;00:04;Algiers;ALG;2018-11-01; 22:45;22:37
Vueling;VY 7479;1;Aterrizado - Puntual;2018-11-02;00:05;00:04;Algiers;ALG;2018-11-01; 22:45;22:37
Qatar Airways;QR 3700;1;Aterrizado - Puntual;2018-11-02;00:05;00:07;Las Palmas;LPA;2018-11-01; 19:45;19:43
Iberia;IB 5419;1;Aterrizado - Puntual;2018-11-02;00:05;00:07;Las Palmas;LPA;2018-11-01; 19:45;19:43
Vueling;VY 3007;1;Aterrizado - Puntual;2018-11-02;00:05;00:07;Las Palmas;LPA;2018-11-01; 19:45;19:43
Vueling;VY 2017;1;Aterrizado - Puntual;2018-11-02;00:10;00:10;Granada;GRX;2018-11-01; 22:45;22:44
Iberia;IB 5343;1;Aterrizado - Puntual;2018-11-02;00:10;00:10;Granada;GRX;2018-11-01; 22:45;22:44
Qatar Airways;QR 3601;1;Aterrizado - Puntual;2018-11-02;00:10;00:10;Granada;GRX;2018-11-01; 22:45;22:44
Iberia;IB 5421;1;Aterrizado - Puntual;2018-11-02;00:45;00:24;Tenerife;TFN;2018-11-01; 20:25;20:12
Vueling;VY 3209;1;Aterrizado - Puntual;2018-11-02;00:45;00:24;Tenerife;TFN;2018-11-01; 20:25;20:12
Iberia;IB 2602;1;Aterrizado - Puntual;2018-11-02;05:30;05:14;Buenos Aires;EZE;2018-11-01; 13:00;12:49
American Airlines;AA 66;1;Aterrizado - Puntual;2018-11-02;06:10;05:44;New York;JFK;2018-11-01; 17:40;17:36
Finnair;AY 4004;1;Aterrizado - Puntual;2018-11-02;06:10;05:44;New York;JFK;2018-11-01; 17:40;17:36
British Airways;BA 1556;1;Aterrizado - Puntual;2018-11-02;06:10;05:44;New York;JFK;2018-11-01; 17:40;17:36
Iberia;IB 4185;1;Aterrizado - Puntual;2018-11-02;06:10;05:44;New York;JFK;2018-11-01; 17:40;17:36
El Al;LY 8000;1;Aterrizado - Puntual;2018-11-02;06:10;05:44;New York;JFK;2018-11-01; 17:40;17:36
ASL Airlines Belgium;3V 34;;En Ruta;2018-11-02;06:25;06:25;Liege;LGG;2018-11-02; 04:14;
Qatar Airways;QR 137;1;Aterrizado - Puntual;2018-11-02;06:45;06:35;Doha;DOH;2018-11-02; 01:45;01:49
SriLankan Airlines;UL 3547;1;Aterrizado - Puntual;2018-11-02;06:45;06:35;Doha;DOH;2018-11-02; 01:45;01:49
Cathay Pacific;CX 321;1;Aterrizado - Puntual;2018-11-02;06:55;06:40;Hong Kong;HKG;2018-11-02; 00:15;00:18
Singapore Airlines;SQ 388;1;Aterrizado - Puntual;2018-11-02;07:10;07:14;Singapore;SIN;2018-11-02; 00:05;00:09
AVIANCA;AV 6555;1;Aterrizado - Puntual;2018-11-02;07:10;07:14;Singapore;SIN;2018-11-02; 00:05;00:09
Air New Zealand;NZ 3388;1;Aterrizado - Puntual;2018-11-02;07:10;07:14;Singapore;SIN;2018-11-02; 00:05;00:09
TAP Portugal;TP 8406;1;Aterrizado - Puntual;2018-11-02;07:10;07:14;Singapore;SIN;2018-11-02; 00:05;00:09
Virgin Australia;VA 5488;1;Aterrizado - Puntual;2018-11-02;07:10;07:14;Singapore;SIN;2018-11-02; 00:05;00:09
Ryanair;FR 6363;2;Aterrizado - Puntual;2018-11-02;07:25;07:12;Palma Mallorca;PMI;2018-11-02; 06:30;06:25
American Airlines;AA 112;1;Aterrizado - Retrasado;2018-11-02;07:40;08:02;Miami;MIA;2018-11-01; 17:45;17:40
Finnair;AY 4010;1;Aterrizado - Retrasado;2018-11-02;07:40;08:02;Miami;MIA;2018-11-01; 17:45;17:40
British Airways;BA 1514;1;Aterrizado - Retrasado;2018-11-02;07:40;08:02;Miami;MIA;2018-11-01; 17:45;17:40
Iberia;IB 4460;1;Aterrizado - Retrasado;2018-11-02;07:40;08:02;Miami;MIA;2018-11-01; 17:45;17:40
El Al;LY 8161;1;Aterrizado - Retrasado;2018-11-02;07:40;08:02;Miami;MIA;2018-11-01; 17:45;17:40
LATAM Airlines Brasil;JJ 8114;1;Aterrizado - Retrasado;2018-11-02;07:50;08:08;Sao Paulo;GRU;2018-11-01; 17:25;17:44
Iberia;IB 7066;1;Aterrizado - Retrasado;2018-11-02;07:50;08:08;Sao Paulo;GRU;2018-11-01; 17:25;17:44
LATAM Airlines;LA 8114;1;Aterrizado - Retrasado;2018-11-02;07:50;08:08;Sao Paulo;GRU;2018-11-01; 17:25;17:44
Air Europa;UX 6006;1;Aterrizado - Puntual;2018-11-02;07:50;07:39;Palma Mallorca;PMI;2018-11-02; 07:00;06:58
Air France;AF 4819;1;Aterrizado - Puntual;2018-11-02;07:50;07:39;Palma Mallorca;PMI;2018-11-02; 07:00;06:58
Alitalia;AZ 2407;1;Aterrizado - Puntual;2018-11-02;07:50;07:39;Palma Mallorca;PMI;2018-11-02; 07:00;06:58
Delta Air Lines;DL 6747;1;Aterrizado - Puntual;2018-11-02;07:50;07:39;Palma Mallorca;PMI;2018-11-02; 07:00;06:58
KLM;KL 3350;1;Aterrizado - Puntual;2018-11-02;07:50;07:39;Palma Mallorca;PMI;2018-11-02; 07:00;06:58
TAROM;RO 9422;1;Aterrizado - Puntual;2018-11-02;07:50;07:39;Palma Mallorca;PMI;2018-11-02; 07:00;06:58
Aeroflot;SU 3651;1;Aterrizado - Puntual;2018-11-02;07:50;07:39;Palma Mallorca;PMI;2018-11-02; 07:00;06:58
Vueling;VY 3915;1;Aterrizado - Puntual;2018-11-02;07:50;07:42;Palma Mallorca;PMI;2018-11-02; 07:00;06:59
Iberia;IB 5159;1;Aterrizado - Puntual;2018-11-02;07:50;07:42;Palma Mallorca;PMI;2018-11-02; 07:00;06:59
Qatar Airways;QR 3662;1;Aterrizado - Puntual;2018-11-02;07:50;07:42;Palma Mallorca;PMI;2018-11-02; 07:00;06:59
Germania;ST 3102;2;Aterrizado - Puntual;2018-11-02;08:00;07:56;Dresden;DRS;2018-11-02; 05:40;
Vueling;VY 6450;1;Aterrizado - Puntual;2018-11-02;08:00;07:50;Madrid;MAD;2018-11-02; 06:45;06:44
Iberia;IB 5914;1;Aterrizado - Puntual;2018-11-02;08:00;07:50;Madrid;MAD;2018-11-02; 06:45;06:44
TUI fly Belgium;TB 1211;2;Aterrizado - Puntual;2018-11-02;08:00;07:51;Ostend;OST;2018-11-02; 06:05;
Air China;CA 839;1;Aterrizado - Retrasado;2018-11-02;08:00;09:20;Shanghai;PVG;2018-11-02; 01:05;02:27
Wizz Air;W6 3563;2;Aterrizado - Puntual;2018-11-02;08:00;07:48;Timisoara;TSR;2018-11-02; 06:10;
Vueling;VY 1311;1;Aterrizado - Puntual;2018-11-02;08:10;07:59;Alicante;ALC;2018-11-02; 07:00;06:52
Iberia;IB 5365;1;Aterrizado - Puntual;2018-11-02;08:10;07:59;Alicante;ALC;2018-11-02; 07:00;06:52
Qatar Airways;QR 3531;1;Aterrizado - Puntual;2018-11-02;08:10;07:59;Alicante;ALC;2018-11-02; 07:00;06:52
Vueling;VY 1431;1;Aterrizado - Puntual;2018-11-02;08:10;08:03;Bilbao;BIO;2018-11-02; 07:00;06:57
Iberia;IB 5765;1;Aterrizado - Puntual;2018-11-02;08:10;08:03;Bilbao;BIO;2018-11-02; 07:00;06:57
Qatar Airways;QR 3551;1;Aterrizado - Puntual;2018-11-02;08:10;08:03;Bilbao;BIO;2018-11-02; 07:00;06:57
Vueling;VY 7000;1;Aterrizado - Puntual;2018-11-02;08:15;08:08;Madrid;MAD;2018-11-02; 07:00;06:57
Iberia;IB 5010;1;Aterrizado - Puntual;2018-11-02;08:15;08:08;Madrid;MAD;2018-11-02; 07:00;06:57
easyJet;U2 2759;2;Aterrizado - Puntual;2018-11-02;08:20;08:07;Milan;MXP;2018-11-02; 06:45;06:40
Vueling;VY 2223;1;Aterrizado - Puntual;2018-11-02;08:20;08:20;Sevilla;SVQ;2018-11-02; 06:45;06:44
Iberia;IB 5733;1;Aterrizado - Puntual;2018-11-02;08:20;08:20;Sevilla;SVQ;2018-11-02; 06:45;06:44
Qatar Airways;QR 3605;1;Aterrizado - Puntual;2018-11-02;08:20;08:20;Sevilla;SVQ;2018-11-02; 06:45;06:44
Vueling;VY 2110;1;Aterrizado - Puntual;2018-11-02;08:25;08:27;Malaga;AGP;2018-11-02; 06:50;06:48
Iberia;IB 5582;1;Aterrizado - Puntual;2018-11-02;08:25;08:27;Malaga;AGP;2018-11-02; 06:50;06:48
Qatar Airways;QR 3503;1;Aterrizado - Puntual;2018-11-02;08:25;08:27;Malaga;AGP;2018-11-02; 06:50;06:48
easyJet;U2 4415;2;Aterrizado - Puntual;2018-11-02;08:25;08:30;Lyon;LYS;2018-11-02; 07:10;07:20
Ryanair;FR 9369;2;Aterrizado - Puntual;2018-11-02;08:30;08:21;Bologna;BLQ;2018-11-02; 06:45;06:41
Lufthansa;LH 1808;1;Aterrizado - Puntual;2018-11-02;08:30;08:13;Munich;MUC;2018-11-02; 06:30;06:30
Air China;CA 6067;1;Aterrizado - Puntual;2018-11-02;08:30;08:13;Munich;MUC;2018-11-02; 06:30;06:30
Vueling;VY 8007;1;Aterrizado - Puntual;2018-11-02;08:30;08:33;Paris;ORY;2018-11-02; 06:55;07:10
Iberia;IB 5746;1;Aterrizado - Puntual;2018-11-02;08:30;08:33;Paris;ORY;2018-11-02; 06:55;07:10
LATAM Airlines;LA 5780;1;Aterrizado - Puntual;2018-11-02;08:30;08:33;Paris;ORY;2018-11-02; 06:55;07:10
Vueling;VY 3923;1;Aterrizado - Puntual;2018-11-02;08:30;08:43;Palma Mallorca;PMI;2018-11-02; 07:40;07:50
Iberia;IB 5777;1;Aterrizado - Puntual;2018-11-02;08:30;08:43;Palma Mallorca;PMI;2018-11-02; 07:40;07:50
Qatar Airways;QR 3655;1;Aterrizado - Puntual;2018-11-02;08:30;08:43;Palma Mallorca;PMI;2018-11-02; 07:40;07:50
Laudamotion;OE 322;2;Aterrizado - Puntual;2018-11-02;08:35;08:34;Vienna;VIE;2018-11-02; 06:15;
